The NRC Affect Intensity Lexicon v0.5
www.saifmohammad.com/WebPages/AffectIntensity.htm
Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

The NRC Affect Intensity Lexicon is a list of English words and their
associations with four basic emotions (anger, fear, sadness, joy). 

Words can be associated with different intensities (or degrees) of an emotion.
For example, most people will agree that the word condemn is associated with a
greater degree of anger (or more anger) than the word irritate. However,
annotating instances for fine-grained degrees of affect is a substantially more
difficult undertaking than categorical annotation: respondents are presented
with greater cognitive load and it is particularly hard to ensure consistency
(both across responses by different annotators and within the responses produced
by the same annotator). Here, for the first time, we create an affect intensity
lexicon with real-valued scores of association using best--worst scaling.

For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
that the word conveys the highest amount of emotion X.  A score of 0 means that
the word conveys the lowest amount of emotion X.

Details of the lexicon are in this paper.
Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.

The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
joy, and sadness. (We will soon be adding entries for four more emotions: trust,
disgust, anticipation, and surprise. We will also be adding entries for valence,
arousal, and dominance.)	It includes common English terms as well as terms
that are more prominent in social media platforms, such as Twitter. It includes
terms that are associated with emotions to various degrees. For a given emotion,
this even includes some terms that may not predominantly convey that emotion (or
that convey an antonymous emotion), and yet tend to co-occur with terms that do.
(Antonymous terms tend to co-occur with each other more often than chance, and
are particularly problematic when one uses automatic co-occurrence-based
statistical methods to capture word--emotion connotations.)

term	score	AffectDimension
disagreement	0.348	anger
disappointed	0.348	anger
retract	0.348	anger
ulcer	0.348	anger
pest	0.348	anger
hardened	0.348	anger
defect	0.348	anger
bias	0.345	anger
evade	0.344	anger
antisocial	0.344	anger
unreliable	0.344	anger
misleading	0.344	anger
stingy	0.344	anger
anxiety	0.344	anger
stripped	0.344	anger
impotence	0.344	anger
unsettled	0.344	anger
shaky	0.344	anger
bothering	0.344	anger
pirate	0.344	anger
negation	0.344	anger
shoddy	0.344	anger
disclaim	0.344	anger
deterioration	0.344	anger
interminable	0.343	anger
meddle	0.341	anger
disease	0.341	anger
warp	0.340	anger
averse	0.338	anger
alcoholism	0.338	anger
infamous	0.338	anger
row	0.337	anger
staticky	0.336	anger
illegitimate	0.333	anger
encumbrance	0.333	anger
witchcraft	0.333	anger
paralyzed	0.333	anger
ill	0.333	anger
interrupt	0.333	anger
scorpion	0.333	anger
sinner	0.331	anger
hulk	0.329	anger
inconsiderate	0.329	anger
disqualified	0.328	anger
tighten	0.328	anger
opponent	0.328	anger
phony	0.328	anger
resisting	0.328	anger
fib	0.328	anger
spammers	0.328	anger
dislocated	0.328	anger
brrr	0.328	anger
dashed	0.328	anger
prohibited	0.328	anger
grumpy	0.328	anger
victim	0.328	anger
crusade	0.328	anger
scapegoat	0.328	anger
hiss	0.328	anger
inappropriate	0.324	anger
haye	0.324	anger
loss	0.324	anger
eschew	0.324	anger
neglected	0.324	anger
trickery	0.324	anger
canker	0.323	anger
crunch	0.318	anger
criticism	0.318	anger
queues	0.318	anger
duplicity	0.318	anger
muff	0.318	anger
shriek	0.316	anger
depreciate	0.315	anger
dramaqueen	0.312	anger
carelessness	0.312	anger
dumps	0.312	anger
dupe	0.312	anger
chaff	0.312	anger
poverty	0.312	anger
mortality	0.312	anger
dismissal	0.312	anger
deflate	0.312	anger
revving	0.309	anger
disallowed	0.308	anger
boisterous	0.307	anger
thoughtless	0.307	anger
burial	0.304	anger
sullen	0.303	anger
theocratic	0.303	anger
wince	0.303	anger
involution	0.300	anger
stalemate	0.297	anger
talons	0.297	anger
hoax	0.297	anger
depreciated	0.297	anger
wasteful	0.297	anger
getyourown	0.297	anger
senseless	0.297	anger
depressed	0.297	anger
taxed	0.297	anger
misuse	0.297	anger
paralysis	0.295	anger
displaced	0.294	anger
limited	0.292	anger
disapointment	0.290	anger
orc	0.289	anger
ridiculous	0.289	anger
spine	0.288	anger
sharpen	0.288	anger
presumptuous	0.288	anger
teasing	0.288	anger
homeless	0.288	anger
react	0.288	anger
barrier	0.287	anger
hoot	0.287	anger
twitchy	0.287	anger
myopia	0.283	anger
incompatible	0.281	anger
disconnects	0.281	anger
delinquent	0.281	anger
contraband	0.281	anger
lagging	0.281	anger
shiver	0.281	anger
agh	0.281	anger
restitution	0.281	anger
flexin	0.281	anger
spam	0.281	anger
foray	0.279	anger
noncompliance	0.279	anger
buffering	0.279	anger
unfairness	0.279	anger
troll	0.279	anger
nether	0.278	anger
immaturity	0.273	anger
uncaring	0.273	anger
bugaboo	0.273	anger
bogus	0.273	anger
shock	0.269	anger
feisty	0.269	anger
rapping	0.266	anger
nopoint	0.266	anger
feminism	0.266	anger
pry	0.266	anger
humbug	0.266	anger
inoperative	0.266	anger
defendant	0.266	anger
latent	0.266	anger
notamorningperson	0.266	anger
quandary	0.266	anger
inconvenient	0.266	anger
bear	0.266	anger
interrupts	0.265	anger
fluctuation	0.265	anger
exaggerate	0.263	anger
lose	0.261	anger
stone	0.258	anger
soldier	0.258	anger
furnace	0.258	anger
shoplifting	0.258	anger
tease	0.258	anger
patter	0.258	anger
incompetent	0.257	anger
indoctrination	0.255	anger
attentionseeker	0.250	anger
unfollow	0.250	anger
nonsense	0.250	anger
complicate	0.250	anger
tripping	0.250	anger
untrue	0.250	anger
notoriety	0.250	anger
falsehood	0.250	anger
mastery	0.250	anger
socialist	0.250	anger
skid	0.250	anger
rocket	0.250	anger
noisy	0.250	anger
lawyer	0.250	anger
pouting	0.250	anger
cane	0.250	anger
fenced	0.242	anger
obstacle	0.242	anger
dontunderstand	0.242	anger
detract	0.242	anger
halter	0.242	anger
vampire	0.242	anger
capslock	0.242	anger
witch	0.242	anger
ringer	0.242	anger
frowning	0.239	anger
saber	0.238	anger
hunger	0.235	anger
tariff	0.234	anger
lava	0.234	anger
dabbling	0.234	anger
shell	0.234	anger
imtryingtosleep	0.234	anger
rascal	0.234	anger
recession	0.234	anger
failing	0.234	anger
politics	0.234	anger
wokemeup	0.234	anger
undesirable	0.231	anger
versus	0.227	anger
copycat	0.227	anger
darkness	0.227	anger
resign	0.227	anger
soaked	0.226	anger
unfulfilled	0.225	anger
abandoned	0.222	anger
unattainable	0.221	anger
owing	0.221	anger
bankruptcy	0.221	anger
confusion	0.219	anger
warden	0.219	anger
somethingigetalot	0.219	anger
tool	0.219	anger
compress	0.219	anger
misconception	0.219	anger
whiny	0.219	anger
unhelpful	0.219	anger
mosquito	0.219	anger
twitching	0.219	anger
nosey	0.213	anger
adder	0.212	anger
overpriced	0.212	anger
shortage	0.212	anger
melodrama	0.212	anger
harry	0.212	anger
possession	0.206	anger
overplayed	0.206	anger
desert	0.206	anger
unlucky	0.203	anger
unpaid	0.203	anger
backbone	0.203	anger
powerless	0.203	anger
sentence	0.203	anger
uninvited	0.203	anger
rook	0.203	anger
pout	0.203	anger
arraignment	0.203	anger
inefficient	0.203	anger
court	0.199	anger
endless	0.198	anger
misstatement	0.197	anger
delay	0.197	anger
distracted	0.197	anger
adverts	0.197	anger
misunderstanding	0.195	anger
inadmissible	0.191	anger
excite	0.191	anger
lightning	0.189	anger
mournful	0.188	anger
preclude	0.188	anger
incase	0.188	anger
insecure	0.188	anger
rating	0.182	anger
claimant	0.182	anger
mistress	0.182	anger
insist	0.182	anger
pare	0.182	anger
distracting	0.182	anger
mutter	0.182	anger
opium	0.180	anger
willful	0.176	anger
deserve	0.176	anger
insists	0.175	anger
treat	0.175	anger
liberate	0.172	anger
peice	0.172	anger
excitation	0.172	anger
misplace	0.172	anger
hormonal	0.172	anger
mighty	0.172	anger
thanksalot	0.172	anger
indecisive	0.172	anger
fee	0.172	anger
gibberish	0.172	anger
fleece	0.172	anger
yelp	0.168	anger
hamstring	0.167	anger
mule	0.167	anger
insufficiency	0.167	anger
insignificant	0.167	anger
unequal	0.167	anger
bargaining	0.167	anger
attentionseekers	0.163	anger
forearm	0.156	anger
indifference	0.156	anger
coop	0.156	anger
rheumatism	0.156	anger
attorney	0.152	anger
uncertain	0.152	anger
justthebeginning	0.152	anger
disinformation	0.152	anger
pretending	0.152	anger
involvement	0.152	anger
underpaid	0.152	anger
bee	0.152	anger
campaigning	0.151	anger
hopelessness	0.149	anger
feeling	0.147	anger
legalized	0.145	anger
caution	0.145	anger
sterling	0.141	anger
obliging	0.141	anger
subsidy	0.141	anger
morals	0.141	anger
wimpy	0.140	anger
bummer	0.139	anger
geez	0.136	anger
repay	0.136	anger
blemish	0.136	anger
misspell	0.136	anger
surcharge	0.136	anger
saloon	0.136	anger
birch	0.135	anger
noob	0.133	anger
honk	0.133	anger
orchestra	0.132	anger
wireless	0.125	anger
standstill	0.125	anger
competitive	0.125	anger
mosque	0.122	anger
inattention	0.121	anger
reversal	0.121	anger
lace	0.118	anger
elbow	0.117	anger
instinctive	0.112	anger
chant	0.111	anger
lonely	0.109	anger
gnome	0.109	anger
tolerate	0.106	anger
management	0.102	anger
advocacy	0.100	anger
moral	0.094	anger
roadworks	0.091	anger
honest	0.087	anger
gent	0.076	anger
forgetful	0.076	anger
liquor	0.075	anger
money	0.074	anger
hood	0.071	anger
curriculum	0.063	anger
words	0.062	anger
elf	0.061	anger
smell	0.061	anger
opera	0.061	anger
playful	0.061	anger
counsellor	0.059	anger
trumpet	0.059	anger
nurture	0.059	anger
asleeep	0.059	anger
birthplace	0.051	anger
ribbon	0.047	anger
youth	0.045	anger
vote	0.045	anger
cash	0.039	anger
wannasleep	0.031	anger
waffle	0.030	anger
dame	0.030	anger
buffet	0.029	anger
celebrity	0.026	anger
sisterhood	0.015	anger
autocorrect	0.015	anger
musical	0.011	anger
tree	0.000	anger
torture	0.984	fear
terrorist	0.972	fear
horrific	0.969	fear
terrorism	0.969	fear
terrorists	0.969	fear
suicidebombing	0.967	fear
kill	0.962	fear
homicidal	0.959	fear
terror	0.953	fear
murderer	0.953	fear
catastrophe	0.953	fear
annihilate	0.953	fear
dying	0.948	fear
war	0.942	fear
bombing	0.938	fear
bomb	0.935	fear
missiles	0.934	fear
horror	0.923	fear
horrified	0.922	fear
terrorize	0.922	fear
brutality	0.922	fear
bloodthirsty	0.922	fear
murderous	0.920	fear
massacre	0.911	fear
horrifying	0.906	fear
mutilation	0.906	fear
assassinate	0.906	fear
terrifying	0.906	fear
fatality	0.906	fear
horrors	0.906	fear
demon	0.906	fear
murder	0.906	fear
devastation	0.906	fear
killing	0.906	fear
terrified	0.906	fear
holocaust	0.906	fear
suicidal	0.898	fear
kidnap	0.891	fear
crucifixion	0.891	fear
slaughter	0.891	fear
assault	0.891	fear
doomed	0.888	fear
poisoned	0.886	fear
suicide	0.879	fear
explosion	0.879	fear
disastrous	0.875	fear
dismemberment	0.875	fear
annihilation	0.875	fear
savagery	0.875	fear
deadly	0.875	fear
slaughtering	0.875	fear
suffocation	0.875	fear
disaster	0.875	fear
threatening	0.875	fear
assassin	0.875	fear
rape	0.870	fear
hell	0.860	fear
slaughterhouse	0.859	fear
guillotine	0.859	fear
explosive	0.859	fear
annihilated	0.859	fear
demonic	0.859	fear
ihatespiders	0.859	fear
bloodshed	0.859	fear
dread	0.859	fear
homicide	0.859	fear
barbaric	0.859	fear
anthrax	0.859	fear
molestation	0.859	fear
warfare	0.859	fear
peril	0.859	fear
tragedy	0.859	fear
attacking	0.859	fear
paralyzed	0.859	fear
executioner	0.859	fear
suffocating	0.858	fear
treachery	0.856	fear
fright	0.853	fear
apocalypse	0.844	fear
bombardment	0.844	fear
afraid	0.844	fear
frightening	0.844	fear
frightened	0.844	fear
scariest	0.844	fear
panicked	0.844	fear
morgue	0.844	fear
traumatic	0.844	fear
execution	0.844	fear
monster	0.844	fear
vengeance	0.844	fear
destroying	0.844	fear
slayer	0.844	fear
abomination	0.844	fear
painful	0.844	fear
drown	0.844	fear
petrified	0.844	fear
scare	0.844	fear
death	0.843	fear
chaos	0.839	fear
ghastly	0.836	fear
evil	0.833	fear
explode	0.828	fear
devil	0.828	fear
fatal	0.828	fear
doomsday	0.828	fear
doom	0.828	fear
frighten	0.828	fear
cancer	0.828	fear
fear	0.828	fear
nightmare	0.828	fear
manslaughter	0.828	fear
trauma	0.828	fear
eradication	0.828	fear
gunmen	0.828	fear
intruder	0.828	fear
brutal	0.828	fear
violently	0.828	fear
grenade	0.828	fear
hellish	0.828	fear
assassination	0.828	fear
kidnapped	0.828	fear
paralyze	0.828	fear
morbidity	0.820	fear
crippling	0.817	fear
savage	0.814	fear
violence	0.812	fear
destructive	0.812	fear
crushed	0.812	fear
suffering	0.812	fear
violent	0.812	fear
heartattack	0.812	fear
damnation	0.812	fear
poisonous	0.812	fear
aggressor	0.812	fear
earthquake	0.812	fear
shooting	0.812	fear
quake	0.812	fear
frightful	0.812	fear
hurricane	0.811	fear
imprisoned	0.811	fear
exterminate	0.810	fear
fearing	0.808	fear
hemorrhage	0.807	fear
torment	0.806	fear
lethal	0.806	fear
venom	0.804	fear
claustrophobia	0.803	fear
snakes	0.802	fear
danger	0.802	fear
robbery	0.800	fear
exorcism	0.800	fear
obliterated	0.800	fear
terrifies	0.798	fear
extermination	0.797	fear
harmful	0.797	fear
incurable	0.797	fear
poison	0.797	fear
cruelty	0.797	fear
biggestfear	0.797	fear
mortality	0.797	fear
monstrosity	0.797	fear
destruction	0.797	fear
persecution	0.797	fear
anxietyattack	0.797	fear
attack	0.797	fear
hysteria	0.797	fear
bombers	0.797	fear
cyanide	0.797	fear
dreadfully	0.796	fear
arson	0.794	fear
devastate	0.792	fear
tyrant	0.788	fear
warcrimes	0.785	fear
perish	0.784	fear
feared	0.782	fear
screaming	0.781	fear
maniac	0.781	fear
freakingout	0.781	fear
bloody	0.781	fear
venomous	0.781	fear
rampage	0.781	fear
enslaved	0.781	fear
warlike	0.781	fear
lifeless	0.781	fear
snake	0.776	fear
epidemic	0.776	fear
panicattack	0.774	fear
dangerously	0.766	fear
invader	0.766	fear
crisis	0.766	fear
detonate	0.766	fear
hazardous	0.766	fear
jihad	0.766	fear
die	0.766	fear
scary	0.766	fear
invade	0.766	fear
reprisal	0.766	fear
obliterate	0.766	fear
riot	0.766	fear
criminal	0.766	fear
tumor	0.766	fear
violation	0.766	fear
fearful	0.766	fear
inferno	0.766	fear
ohshit	0.766	fear
shipwreck	0.766	fear
leprosy	0.766	fear
claustrophobic	0.765	fear
hyperventilating	0.762	fear
nightmares	0.759	fear
destroyed	0.754	fear
ghostly	0.754	fear
hurricanes	0.750	fear
tyranny	0.750	fear
panic	0.750	fear
ptsd	0.750	fear
dangerous	0.750	fear
strangle	0.750	fear
tragedies	0.750	fear
wrenching	0.750	fear
hazard	0.750	fear
destroyer	0.750	fear
projectiles	0.750	fear
cholera	0.750	fear
obliteration	0.750	fear
slavery	0.750	fear
imprisonment	0.750	fear
agony	0.750	fear
anaconda	0.750	fear
anarchist	0.750	fear
treacherous	0.750	fear
riotous	0.750	fear
mortuary	0.750	fear
dreadful	0.750	fear
anarchy	0.750	fear
fears	0.750	fear
accident	0.750	fear
malignancy	0.742	fear
bombard	0.740	fear
cannibal	0.740	fear
abominable	0.738	fear
tyrannical	0.734	fear
depraved	0.734	fear
mutiny	0.734	fear
scared	0.734	fear
dictatorship	0.734	fear
beast	0.734	fear
missile	0.734	fear
cursed	0.734	fear
melee	0.734	fear
threaten	0.734	fear
hostage	0.734	fear
diseased	0.734	fear
gore	0.734	fear
devilish	0.734	fear
malignant	0.734	fear
misery	0.734	fear
horrible	0.734	fear
shot	0.734	fear
bomber	0.734	fear
hyperventilate	0.734	fear
crash	0.734	fear
gun	0.734	fear
shoot	0.734	fear
victimized	0.734	fear
paralysis	0.734	fear
mafia	0.734	fear
tornado	0.734	fear
turmoil	0.733	fear
combat	0.728	fear
alligator	0.727	fear
ruin	0.725	fear
shooter	0.722	fear
contagious	0.720	fear
miscarriage	0.719	fear
lynch	0.719	fear
desperation	0.719	fear
casualty	0.719	fear
devastating	0.719	fear
seizure	0.719	fear
starvation	0.719	fear
excruciating	0.719	fear
phobia	0.719	fear
harm	0.719	fear
crime	0.719	fear
emergency	0.719	fear
shock	0.719	fear
fight	0.719	fear
injured	0.719	fear
scream	0.719	fear
struggle	0.719	fear
havoc	0.719	fear
mortification	0.719	fear
frantically	0.717	fear
carnage	0.717	fear
standoff	0.716	fear
infestation	0.716	fear
soscary	0.712	fear
panicking	0.708	fear
rupture	0.706	fear
frantic	0.705	fear
horrid	0.705	fear
burial	0.703	fear
arsenic	0.703	fear
neurotic	0.703	fear
carcinoma	0.703	fear
witchcraft	0.703	fear
hysterical	0.703	fear
deranged	0.703	fear
prey	0.703	fear
infectious	0.703	fear
assailant	0.703	fear
sabotage	0.703	fear
psychosis	0.703	fear
hatred	0.703	fear
terminal	0.703	fear
collapse	0.703	fear
anguish	0.703	fear
grisly	0.703	fear
diabolical	0.703	fear
avalanche	0.703	fear
dreaded	0.703	fear
gash	0.703	fear
sos	0.703	fear
aggressive	0.703	fear
malevolent	0.703	fear
agonizing	0.703	fear
cobra	0.703	fear
harrowing	0.703	fear
fugitive	0.703	fear
wrecked	0.703	fear
armed	0.703	fear
cripple	0.703	fear
freaked	0.703	fear
schizophrenia	0.703	fear
plague	0.703	fear
upheaval	0.703	fear
vendetta	0.703	fear
forcibly	0.700	fear
abduction	0.700	fear
crocodile	0.700	fear
offender	0.698	fear
mayhem	0.690	fear
wounding	0.688	fear
disease	0.688	fear
agoraphobia	0.688	fear
brawl	0.688	fear
banish	0.688	fear
oppression	0.688	fear
hostile	0.688	fear
guerilla	0.688	fear
cyclone	0.688	fear
radiation	0.688	fear
hopeless	0.688	fear
ambush	0.688	fear
beastly	0.688	fear
shrapnel	0.688	fear
socialanxiety	0.688	fear
cadaver	0.688	fear
leukemia	0.688	fear
rabid	0.688	fear
endanger	0.688	fear
contagion	0.688	fear
anarchism	0.688	fear
hurt	0.688	fear
trepidation	0.688	fear
gory	0.688	fear
paranoid	0.688	fear
alarm	0.688	fear
blast	0.688	fear
gallows	0.686	fear
coffin	0.684	fear
madness	0.675	fear
spook	0.673	fear
fury	0.672	fear
awful	0.672	fear
victim	0.672	fear
ghost	0.672	fear
trembling	0.672	fear
scarier	0.672	fear
stab	0.672	fear
viper	0.672	fear
nervouswreck	0.672	fear
tarantula	0.672	fear
thug	0.672	fear
dungeon	0.672	fear
carcass	0.672	fear
freakedout	0.672	fear
vermin	0.672	fear
felon	0.672	fear
atrocity	0.672	fear
fangs	0.672	fear
militants	0.672	fear
perishing	0.672	fear
militia	0.672	fear
grim	0.672	fear
outbreak	0.672	fear
abhorrent	0.672	fear
abuse	0.672	fear
frankenstorm	0.672	fear
sinister	0.672	fear
menace	0.672	fear
hurting	0.672	fear
gang	0.672	fear
crushing	0.672	fear
combatant	0.672	fear
eruption	0.672	fear
shatter	0.672	fear
persecute	0.672	fear
revolver	0.672	fear
injury	0.672	fear
mangle	0.672	fear
soscared	0.672	fear
menacing	0.672	fear
desolation	0.667	fear
ferocious	0.667	fear
battered	0.667	fear
cutthroat	0.664	fear
pandemic	0.664	fear
volcano	0.663	fear
scares	0.660	fear
cruelly	0.658	fear
nefarious	0.656	fear
fearfully	0.656	fear
purgatory	0.656	fear
despotic	0.656	fear
tumult	0.656	fear
malicious	0.656	fear
emetophobia	0.656	fear
selfharm	0.656	fear
lunatic	0.656	fear
bully	0.656	fear
typhoon	0.656	fear
xenophobia	0.656	fear
treason	0.656	fear
oppressive	0.656	fear
battlefield	0.656	fear
dictator	0.656	fear
smash	0.656	fear
radioactive	0.656	fear
encroachment	0.656	fear
stroke	0.656	fear
traitor	0.656	fear
blizzard	0.656	fear
coma	0.656	fear
cruel	0.656	fear
endangered	0.656	fear
armament	0.656	fear
ruthless	0.656	fear
punishment	0.656	fear
shitless	0.656	fear
neurosis	0.656	fear
debauchery	0.656	fear
spider	0.656	fear
distress	0.656	fear
alarming	0.656	fear
revenge	0.656	fear
crazed	0.656	fear
insane	0.656	fear
projectile	0.654	fear
flog	0.653	fear
bang	0.652	fear
ransom	0.644	fear
criminality	0.642	fear
hanging	0.641	fear
deteriorate	0.641	fear
dementia	0.641	fear
punished	0.641	fear
perturbation	0.641	fear
haunt	0.641	fear
raptors	0.641	fear
abortion	0.641	fear
despair	0.641	fear
cantbreathe	0.641	fear
scoundrel	0.641	fear
isolated	0.641	fear
quivering	0.641	fear
duress	0.641	fear
dreading	0.641	fear
targeted	0.641	fear
rattlesnake	0.641	fear
demise	0.641	fear
warlock	0.641	fear
perilous	0.641	fear
dastardly	0.641	fear
raging	0.641	fear
injurious	0.641	fear
intimidate	0.641	fear
conflict	0.641	fear
wildfire	0.641	fear
wreck	0.641	fear
tumour	0.641	fear
retaliation	0.641	fear
vehement	0.641	fear
demented	0.641	fear
hideous	0.641	fear
banshee	0.641	fear
antichrist	0.641	fear
aghast	0.641	fear
bestial	0.639	fear
serpent	0.638	fear
condemnation	0.637	fear
corrosive	0.636	fear
armaments	0.636	fear
fire	0.636	fear
exclusion	0.636	fear
nervousness	0.627	fear
seize	0.625	fear
pneumonia	0.625	fear
spiders	0.625	fear
revolting	0.625	fear
vampire	0.625	fear
mercenary	0.625	fear
sarcoma	0.625	fear
incarceration	0.625	fear
manic	0.625	fear
injure	0.625	fear
smuggler	0.625	fear
pestilence	0.625	fear
hurtful	0.625	fear
stunned	0.625	fear
vengeful	0.625	fear
irreparable	0.625	fear
lunacy	0.625	fear
thundering	0.625	fear
disfigured	0.625	fear
artillery	0.625	fear
incendiary	0.625	fear
daemon	0.625	fear
wracking	0.625	fear
turbulent	0.625	fear
landslide	0.625	fear
malice	0.625	fear
enemy	0.625	fear
combative	0.625	fear
sickening	0.625	fear
repression	0.625	fear
infection	0.625	fear
wicked	0.625	fear
inhuman	0.625	fear
meltdown	0.625	fear
prison	0.625	fear
ruinous	0.625	fear
madman	0.625	fear
virulence	0.625	fear
ill	0.621	fear
barbarian	0.620	fear
battled	0.615	fear
plummet	0.613	fear
blackmail	0.612	fear
hangman	0.610	fear
contaminated	0.610	fear
darkened	0.610	fear
merciless	0.609	fear
beating	0.609	fear
aggression	0.609	fear
injection	0.609	fear
alienation	0.609	fear
insurmountable	0.609	fear
dagger	0.609	fear
conflagration	0.609	fear
butcher	0.609	fear
malaria	0.609	fear
interrogation	0.609	fear
despotism	0.609	fear
wrath	0.609	fear
prosecute	0.609	fear
disintegrate	0.609	fear
shackle	0.609	fear
oblivion	0.609	fear
homeless	0.609	fear
sufferer	0.609	fear
rob	0.609	fear
ogre	0.609	fear
oppressor	0.609	fear
abandonment	0.609	fear
deplorable	0.609	fear
injuring	0.609	fear
illness	0.609	fear
bleeding	0.609	fear
infanticide	0.609	fear
scourge	0.609	fear
threat	0.604	fear
firearms	0.600	fear
nerves	0.600	fear
raid	0.600	fear
eviction	0.596	fear
villain	0.595	fear
torrent	0.594	fear
pounding	0.594	fear
haze	0.594	fear
cardiomyopathy	0.594	fear
infidel	0.594	fear
deceit	0.594	fear
possessed	0.594	fear
dragon	0.594	fear
terrible	0.594	fear
belligerent	0.594	fear
restrained	0.594	fear
goblin	0.594	fear
hypertrophy	0.594	fear
paranoia	0.594	fear
tribulation	0.594	fear
flee	0.594	fear
shelling	0.594	fear
masochism	0.594	fear
tremor	0.594	fear
burglar	0.594	fear
sickness	0.594	fear
anxiety	0.594	fear
pain	0.594	fear
sepsis	0.594	fear
euthanasia	0.594	fear
omen	0.594	fear
foe	0.594	fear
ominous	0.594	fear
fraught	0.594	fear
convict	0.594	fear
rot	0.594	fear
casket	0.594	fear
accursed	0.594	fear
lightning	0.594	fear
villainous	0.594	fear
wounded	0.592	fear
elimination	0.588	fear
lava	0.588	fear
spank	0.587	fear
hostilities	0.586	fear
dismal	0.584	fear
blockade	0.582	fear
punch	0.580	fear
haunted	0.578	fear
angina	0.578	fear
infliction	0.578	fear
dispossessed	0.578	fear
tumultuous	0.578	fear
quarantine	0.578	fear
desecration	0.578	fear
coward	0.578	fear
eatingdisorders	0.578	fear
grizzly	0.578	fear
demoralized	0.578	fear
worry	0.578	fear
curse	0.578	fear
deprivation	0.578	fear
shudder	0.578	fear
bacteria	0.578	fear
pained	0.578	fear
stealing	0.578	fear
failure	0.578	fear
sostressed	0.578	fear
hateful	0.578	fear
forbidding	0.578	fear
cringe	0.578	fear
parasite	0.578	fear
loss	0.578	fear
abyss	0.578	fear
surgery	0.578	fear
volatility	0.578	fear
apprehensive	0.578	fear
confined	0.578	fear
clashing	0.578	fear
jeopardy	0.578	fear
shady	0.578	fear
jail	0.578	fear
dire	0.578	fear
evacuate	0.578	fear
assail	0.578	fear
perdition	0.577	fear
mob	0.577	fear
toxin	0.575	fear
unholy	0.575	fear
comatose	0.575	fear
pillage	0.574	fear
incest	0.571	fear
wound	0.571	fear
forced	0.569	fear
cowardice	0.567	fear
domination	0.566	fear
crypt	0.566	fear
witch	0.565	fear
smuggle	0.565	fear
worries	0.562	fear
banished	0.562	fear
purge	0.562	fear
inflict	0.562	fear
masks	0.562	fear
afflict	0.562	fear
sacrifices	0.562	fear
deterioration	0.562	fear
eeek	0.562	fear
gunpowder	0.562	fear
misfortune	0.562	fear
ulcer	0.562	fear
incubus	0.562	fear
apprehend	0.562	fear
lawsuit	0.562	fear
distressing	0.562	fear
prisoner	0.562	fear
jitters	0.562	fear
corrupting	0.562	fear
thrash	0.562	fear
martyr	0.562	fear
travesty	0.562	fear
duel	0.562	fear
pitfall	0.562	fear
evasion	0.562	fear
overpowering	0.562	fear
vanished	0.562	fear
impending	0.562	fear
risky	0.562	fear
martyrdom	0.562	fear
appalling	0.562	fear
syncope	0.562	fear
polio	0.562	fear
risk	0.562	fear
confine	0.562	fear
grave	0.562	fear
turbulence	0.562	fear
degrading	0.562	fear
punishing	0.562	fear
powerless	0.562	fear
incrimination	0.562	fear
freak	0.562	fear
mange	0.562	fear
hunter	0.562	fear
unsafe	0.561	fear
sin	0.560	fear
worstfeeling	0.560	fear
perpetrator	0.560	fear
occult	0.559	fear
intimidation	0.559	fear
disable	0.558	fear
decay	0.557	fear
affliction	0.557	fear
autopsy	0.557	fear
vulnerability	0.548	fear
flood	0.547	fear
bondage	0.547	fear
abhor	0.547	fear
overthrow	0.547	fear
appendicitis	0.547	fear
outcry	0.547	fear
cannon	0.547	fear
siren	0.547	fear
growling	0.547	fear
jeopardize	0.547	fear
deformity	0.547	fear
samurai	0.547	fear
neuralgia	0.547	fear
talons	0.547	fear
defenseless	0.547	fear
beware	0.547	fear
noxious	0.547	fear
asylum	0.547	fear
scorpion	0.547	fear
outburst	0.547	fear
derogation	0.547	fear
enmity	0.547	fear
ailing	0.547	fear
scandal	0.547	fear
adder	0.547	fear
communism	0.547	fear
thief	0.547	fear
plunge	0.547	fear
precarious	0.547	fear
expulsion	0.547	fear
mad	0.547	fear
brigade	0.547	fear
needles	0.547	fear
insanity	0.547	fear
apparition	0.547	fear
senile	0.547	fear
coercion	0.547	fear
gonorrhea	0.547	fear
retribution	0.545	fear
uprising	0.545	fear
cemetery	0.541	fear
badness	0.539	fear
phantom	0.538	fear
abandoned	0.534	fear
fled	0.534	fear
rejection	0.533	fear
rebellion	0.531	fear
disembodied	0.531	fear
captor	0.531	fear
stormy	0.531	fear
stalk	0.531	fear
wrangling	0.531	fear
helpless	0.531	fear
subjugation	0.531	fear
slave	0.531	fear
hopelessness	0.531	fear
superstitious	0.531	fear
broken	0.531	fear
manifestation	0.531	fear
cowardly	0.531	fear
abandon	0.531	fear
deserted	0.531	fear
jarring	0.531	fear
frenzied	0.531	fear
theft	0.531	fear
bacterium	0.531	fear
saber	0.531	fear
manipulation	0.531	fear
lawlessness	0.531	fear
impotence	0.531	fear
penetration	0.531	fear
swastika	0.531	fear
atherosclerosis	0.531	fear
shaking	0.531	fear
carnivorous	0.531	fear
eek	0.531	fear
leeches	0.531	fear
